"","Var1.ch1","Var1.ch2","Var1.ch3","Var2.ch1","Var2.ch2","Var2.ch3","Var3.ch1","Var3.ch2","Var3.ch3","Var4.ch1","Var4.ch2","Var4.ch3","Var5.ch1","Var5.ch2","Var5.ch3","XDemo","choice","fold"
"2",0.829692625207826,0.232257375027984,0.475111753214151,0.990287722786888,0.509057328104973,0.964158790418878,0.201603699475527,0.311815289780498,0.152588807977736,0.723416052525863,0.798717914847657,0.853732388699427,0.116992480354384,0.745797366835177,0.93011028598994,1.37174481665716,"ch2",2
"3",0.58588690427132,0.871853018645197,0.39872749731876,0.104162346338853,0.965386408381164,0.852938612224534,0.583581735845655,0.663169513689354,0.152020593173802,0.269152227323502,0.931851344648749,0.549985404592007,0.376343618147075,0.515081919031218,0.523612622637302,1.37789421109483,"ch2",3
"4",0.417046119458973,0.46790973842144,0.309232612838969,0.644479409325868,0.959977417252958,0.238765290472656,0.544729083310813,0.134747365722433,0.256617008009925,0.187200333224609,0.773589023388922,0.0937911332584918,0.680205584736541,0.082081725820899,0.165466042933986,0.0341732664965093,"ch2",4
"5",0.662096880143508,0.13246985967271,0.625383493723348,0.520012062275782,0.21479032211937,0.881880729924887,0.349876352120191,0.418932777363807,0.9501003685873,0.584988977992907,0.828716843388975,0.806707229232416,0.465003367513418,0.70573930372484,0.575128903845325,1.96637080237269,"ch2",5
"6",0.379302090266719,0.139171654824167,0.18227626523003,0.513546883594245,0.847722490783781,0.738970723701641,0.758287134580314,0.751183439744636,0.923342077760026,0.72597143240273,0.832800536882132,0.064023235347122,0.253333311295137,0.944102223031223,0.535296726506203,0.796250351238996,"ch2",6
"7",0.424265605397522,0.224444796098396,0.630838953889906,0.559079644735903,0.321354067651555,0.78987489384599,0.33534749597311,0.334408383117989,0.606661193072796,0.892306872177869,0.344155850587413,0.417006155010313,0.711227600462735,0.590529333800077,0.67306388868019,0.941915841773152,"ch2",7
"8",0.842512690927833,0.127699551871046,0.373153090244159,0.0545216265600175,0.652614323887974,0.137632127385587,0.113319531781599,0.247989413561299,0.181844108738005,0.444372716592625,0.0374157845508307,0.551536978920922,0.85418935213238,0.576673301868141,0.939504752866924,1.81934683164582,"ch3",8
"9",0.376442175125703,0.333094627596438,0.426194817060605,0.808496718062088,0.186217204900458,0.271459149429575,0.674146013800055,0.423153349664062,0.129144971491769,0.589687685016543,0.9377413734328,0.811164721380919,0.111429568380117,0.737541822018102,0.297650410560891,1.88413816364482,"ch2",9
"10",0.911530064884573,0.680837615160272,0.56701580202207,0.0994651534128934,0.980838569812477,0.78166841273196,0.987410947214812,0.497476387536153,0.883983926149085,0.0502084819599986,0.417850219411775,0.317987698595971,0.753620219649747,0.335425441851839,0.476907620439306,0.552462134044617,"ch3",10
"11",0.258538362337276,0.0274947739671916,0.0250348479021341,0.267723864177242,0.318985395599157,0.214200059650466,0.141237773932517,0.338344017975032,0.223596131894737,0.648900558240712,0.0229763526003808,0.781840352341533,0.178846629802138,0.779251081869006,0.254712054273114,0.40697467373684,"ch1",11
